20150818,745.9200,758.2700,745.1000,754.0500,410300
20150819,745.2800,750.5600,741.5000,742.2000,280200
20150820,735.1500,744.7700,734.2200,741.3100,449500
20150821,720.0100,731.4200,718.5000,729.4800,706700
20150824,704.2500,723.4500,685.0000,695.0000,839500
20150825,695.3900,722.9400,695.3900,722.2600,696500
20150826,707.6400,708.2400,691.8700,703.1500,732300
20150827,727.1700,730.0000,710.2400,713.1200,583800
20150828,721.2000,728.1700,717.0900,725.0000,235600
20150831,710.0100,722.1000,707.5000,719.7900,464300
20150901,706.7100,714.1900,696.1000,697.9500,409000
20150902,723.8700,724.0000,710.5800,713.6900,374300
20150903,724.9900,729.4400,721.9100,722.5000,297400
20150904,719.2300,729.9100,718.3600,718.3600,293900
20150908,732.1400,733.8300,721.8800,731.4600,241100
20150909,718.8300,736.0100,717.6400,734.0000,340300
20150910,723.1900,725.8700,718.0000,718.2500,220300
20150911,729.0600,729.9500,714.0200,721.2200,644000
20150914,726.8000,730.5000,723.0700,728.4800,267700
20150915,732.0800,733.5000,720.7000,725.8100,296000
20150916,730.0100,734.7500,725.1900,734.7500,308700
20150917,730.2000,738.9900,726.0100,728.4700,285100
20150918,729.4800,731.5900,724.1200,728.9800,522000
20150921,731.1900,737.8600,725.4500,729.3000,325300
20150922,726.9700,729.5300,722.0000,724.9900,354200
20150923,731.5700,733.2200,725.4500,727.5000,213000
20150924,731.1700,731.9500,721.6100,729.7700,405600
20150925,730.2800,741.8900,728.4400,733.8300,420100
20150928,708.0300,734.5000,707.5000,730.5200,565700
20150929,708.5400,721.1600,701.7300,707.5900,483000
20150930,720.2500,720.7100,710.0000,714.8900,355400
20151001,724.4300,724.5700,714.2100,717.6000,315000
20151002,724.4500,724.4500,709.4500,717.4800,502800
20151005,728.0800,729.8300,723.5200,726.8600,426500
20151006,713.2500,727.6000,711.6600,727.1600,359700
20151007,720.1600,720.6900,705.1700,713.5000,386700
20151008,734.7700,738.4700,718.9000,722.0000,497400
20151009,732.9300,738.0000,726.8700,734.7700,355600
20151012,747.8200,750.5000,729.2100,734.5700,433600
20151013,750.4200,757.0000,747.0000,747.0000,418200
20151014,718.5600,742.4000,710.9100,739.0000,961300
20151015,723.8100,724.9400,708.5000,718.5600,628600
20151016,722.7000,728.2400,720.0600,728.0000,346600
20151019,718.6400,725.1700,709.6600,723.4300,714400
20151020,705.6300,720.5000,705.6300,717.2500,2194700
20151021,665.6700,666.0000,646.8000,650.6100,2007100
20151022,650.6200,669.1100,650.2100,666.4600,803100
20151023,649.7200,657.9900,645.1300,657.9900,690800
20151026,659.6900,668.3600,645.9500,646.6400,672000
20151027,656.5500,662.9800,651.5600,659.6800,388100
20151028,654.8900,658.7600,652.4900,656.8900,507200
20151029,648.2000,654.8400,647.3100,649.4200,381700
20151030,640.2300,653.2700,640.0500,648.0000,643600
20151102,624.0000,631.0000,608.5200,610.0000,2140200
20151103,623.1600,631.4800,620.0000,627.6700,920800
20151104,614.9800,626.8000,612.1000,625.8500,1216100
20151105,617.2300,619.1800,609.4600,616.7300,834100
20151106,612.4000,613.4900,594.0000,609.0000,1596600
20151109,609.2900,622.0000,606.0900,613.0100,754200
20151110,628.8800,629.6500,617.0600,623.4800,1089800
